iucn_sid,sciname,rgn_name,rgn_id,year,eval_yr,cat,cat_score
3897,Caretta caretta,French Polynesia,147,1992,1990,VU,0.4
3897,Caretta caretta,French Polynesia,147,1993,1990,VU,0.4
3897,Caretta caretta,French Polynesia,147,1994,1994,VU,0.4
3897,Caretta caretta,French Polynesia,147,1995,1994,VU,0.4
3897,Caretta caretta,French Polynesia,147,1996,1996,EN,0.6
3897,Caretta caretta,French Polynesia,147,1997,1996,EN,0.6
3897,Caretta caretta,French Polynesia,147,1998,1996,EN,0.6
3897,Caretta caretta,French Polynesia,147,1999,1996,EN,0.6
3897,Caretta caretta,French Polynesia,147,2e3,1996,EN,0.6
3897,Caretta caretta,French Polynesia,147,2001,1996,EN,0.6
3897,Caretta caretta,French Polynesia,147,2002,1996,EN,0.6
3897,Caretta caretta,French Polynesia,147,2003,1996,EN,0.6
3897,Caretta caretta,French Polynesia,147,2004,1996,EN,0.6
3897,Caretta caretta,French Polynesia,147,2005,1996,EN,0.6
3897,Caretta caretta,French Polynesia,147,2006,1996,EN,0.6
3897,Caretta caretta,French Polynesia,147,2007,1996,EN,0.6
3897,Caretta caretta,French Polynesia,147,2008,1996,EN,0.6
3897,Caretta caretta,French Polynesia,147,2009,1996,EN,0.6
3897,Caretta caretta,French Polynesia,147,2010,1996,EN,0.6
3897,Caretta caretta,French Polynesia,147,2011,1996,EN,0.6
3897,Caretta caretta,French Polynesia,147,2012,1996,EN,0.6
3897,Caretta caretta,French Polynesia,147,2013,1996,EN,0.6
3897,Caretta caretta,French Polynesia,147,2014,1996,EN,0.6
3897,Caretta caretta,French Polynesia,147,2015,2015,VU,0.4
3897,Caretta caretta,French Polynesia,147,2016,2015,VU,0.4
3897,Caretta caretta,French Polynesia,147,2017,2017,VU,0.4
3897,Caretta caretta,French Polynesia,147,2018,2017,VU,0.4
4592,Cheilinus undulatus,French Polynesia,147,1992,NA,VU,0.4
4592,Cheilinus undulatus,French Polynesia,147,1993,NA,VU,0.4
4592,Cheilinus undulatus,French Polynesia,147,1994,NA,VU,0.4
4592,Cheilinus undulatus,French Polynesia,147,1995,NA,VU,0.4
4592,Cheilinus undulatus,French Polynesia,147,1996,1996,VU,0.4
4592,Cheilinus undulatus,French Polynesia,147,1997,1996,VU,0.4
4592,Cheilinus undulatus,French Polynesia,147,1998,1996,VU,0.4
4592,Cheilinus undulatus,French Polynesia,147,1999,1996,VU,0.4
4592,Cheilinus undulatus,French Polynesia,147,2e3,1996,VU,0.4
4592,Cheilinus undulatus,French Polynesia,147,2001,1996,VU,0.4
4592,Cheilinus undulatus,French Polynesia,147,2002,1996,VU,0.4
4592,Cheilinus undulatus,French Polynesia,147,2003,1996,VU,0.4
4592,Cheilinus undulatus,French Polynesia,147,2004,2004,EN,0.6
4592,Cheilinus undulatus,French Polynesia,147,2005,2004,EN,0.6
4592,Cheilinus undulatus,French Polynesia,147,2006,2004,EN,0.6
4592,Cheilinus undulatus,French Polynesia,147,2007,2004,EN,0.6
4592,Cheilinus undulatus,French Polynesia,147,2008,2004,EN,0.6
4592,Cheilinus undulatus,French Polynesia,147,2009,2004,EN,0.6
4592,Cheilinus undulatus,French Polynesia,147,2010,2004,EN,0.6
4592,Cheilinus undulatus,French Polynesia,147,2011,2004,EN,0.6
4592,Cheilinus undulatus,French Polynesia,147,2012,2004,EN,0.6
4592,Cheilinus undulatus,French Polynesia,147,2013,2004,EN,0.6
4592,Cheilinus undulatus,French Polynesia,147,2014,2004,EN,0.6
4592,Cheilinus undulatus,French Polynesia,147,2015,2004,EN,0.6
4592,Cheilinus undulatus,French Polynesia,147,2016,2004,EN,0.6
4592,Cheilinus undulatus,French Polynesia,147,2017,2004,EN,0.6
4592,Cheilinus undulatus,French Polynesia,147,2018,2004,EN,0.6
4615,Chelonia mydas,French Polynesia,147,1992,1990,EN,0.6
4615,Chelonia mydas,French Polynesia,147,1993,1990,EN,0.6
4615,Chelonia mydas,French Polynesia,147,1994,1994,EN,0.6
4615,Chelonia mydas,French Polynesia,147,1995,1994,EN,0.6
4615,Chelonia mydas,French Polynesia,147,1996,1996,EN,0.6
4615,Chelonia mydas,French Polynesia,147,1997,1996,EN,0.6
4615,Chelonia mydas,French Polynesia,147,1998,1996,EN,0.6
4615,Chelonia mydas,French Polynesia,147,1999,1996,EN,0.6
4615,Chelonia mydas,French Polynesia,147,2e3,1996,EN,0.6
4615,Chelonia mydas,French Polynesia,147,2001,1996,EN,0.6
4615,Chelonia mydas,French Polynesia,147,2002,1996,EN,0.6
4615,Chelonia mydas,French Polynesia,147,2003,1996,EN,0.6
4615,Chelonia mydas,French Polynesia,147,2004,2004,EN,0.6
4615,Chelonia mydas,French Polynesia,147,2005,2004,EN,0.6
4615,Chelonia mydas,French Polynesia,147,2006,2004,EN,0.6
4615,Chelonia mydas,French Polynesia,147,2007,2004,EN,0.6
4615,Chelonia mydas,French Polynesia,147,2008,2004,EN,0.6
4615,Chelonia mydas,French Polynesia,147,2009,2004,EN,0.6
4615,Chelonia mydas,French Polynesia,147,2010,2004,EN,0.6
4615,Chelonia mydas,French Polynesia,147,2011,2004,EN,0.6
4615,Chelonia mydas,French Polynesia,147,2012,2004,EN,0.6
4615,Chelonia mydas,French Polynesia,147,2013,2004,EN,0.6
4615,Chelonia mydas,French Polynesia,147,2014,2004,EN,0.6
4615,Chelonia mydas,French Polynesia,147,2015,2004,EN,0.6
4615,Chelonia mydas,French Polynesia,147,2016,2004,EN,0.6
4615,Chelonia mydas,French Polynesia,147,2017,2004,EN,0.6
4615,Chelonia mydas,French Polynesia,147,2018,2004,EN,0.6
6494,Dermochelys coriacea,French Polynesia,147,1992,1990,EN,0.6
6494,Dermochelys coriacea,French Polynesia,147,1993,1990,EN,0.6
6494,Dermochelys coriacea,French Polynesia,147,1994,1994,EN,0.6
6494,Dermochelys coriacea,French Polynesia,147,1995,1994,EN,0.6
6494,Dermochelys coriacea,French Polynesia,147,1996,1996,EN,0.6
6494,Dermochelys coriacea,French Polynesia,147,1997,1996,EN,0.6
6494,Dermochelys coriacea,French Polynesia,147,1998,1996,EN,0.6
6494,Dermochelys coriacea,French Polynesia,147,1999,1996,EN,0.6
6494,Dermochelys coriacea,French Polynesia,147,2e3,2000,CR,0.8
6494,Dermochelys coriacea,French Polynesia,147,2001,2000,CR,0.8
6494,Dermochelys coriacea,French Polynesia,147,2002,2000,CR,0.8
6494,Dermochelys coriacea,French Polynesia,147,2003,2000,CR,0.8
6494,Dermochelys coriacea,French Polynesia,147,2004,2000,CR,0.8
6494,Dermochelys coriacea,French Polynesia,147,2005,2000,CR,0.8
6494,Dermochelys coriacea,French Polynesia,147,2006,2000,CR,0.8
6494,Dermochelys coriacea,French Polynesia,147,2007,2000,CR,0.8
6494,Dermochelys coriacea,French Polynesia,147,2008,2000,CR,0.8
6494,Dermochelys coriacea,French Polynesia,147,2009,2000,CR,0.8
6494,Dermochelys coriacea,French Polynesia,147,2010,2000,CR,0.8
6494,Dermochelys coriacea,French Polynesia,147,2011,2000,CR,0.8
6494,Dermochelys coriacea,French Polynesia,147,2012,2000,CR,0.8
6494,Dermochelys coriacea,French Polynesia,147,2013,2013,VU,0.4
6494,Dermochelys coriacea,French Polynesia,147,2014,2013,VU,0.4
6494,Dermochelys coriacea,French Polynesia,147,2015,2013,VU,0.4
6494,Dermochelys coriacea,French Polynesia,147,2016,2013,VU,0.4
6494,Dermochelys coriacea,French Polynesia,147,2017,2013,VU,0.4
6494,Dermochelys coriacea,French Polynesia,147,2018,2013,VU,0.4
13006,Megaptera novaeangliae,French Polynesia,147,1992,1990,VU,0.4
13006,Megaptera novaeangliae,French Polynesia,147,1993,1990,VU,0.4
13006,Megaptera novaeangliae,French Polynesia,147,1994,1994,VU,0.4
13006,Megaptera novaeangliae,French Polynesia,147,1995,1994,VU,0.4
13006,Megaptera novaeangliae,French Polynesia,147,1996,1996,VU,0.4
13006,Megaptera novaeangliae,French Polynesia,147,1997,1996,VU,0.4
13006,Megaptera novaeangliae,French Polynesia,147,1998,1996,VU,0.4
13006,Megaptera novaeangliae,French Polynesia,147,1999,1996,VU,0.4
13006,Megaptera novaeangliae,French Polynesia,147,2e3,1996,VU,0.4
13006,Megaptera novaeangliae,French Polynesia,147,2001,1996,VU,0.4
13006,Megaptera novaeangliae,French Polynesia,147,2002,1996,VU,0.4
13006,Megaptera novaeangliae,French Polynesia,147,2003,1996,VU,0.4
13006,Megaptera novaeangliae,French Polynesia,147,2004,1996,VU,0.4
13006,Megaptera novaeangliae,French Polynesia,147,2005,1996,VU,0.4
13006,Megaptera novaeangliae,French Polynesia,147,2006,1996,VU,0.4
13006,Megaptera novaeangliae,French Polynesia,147,2007,1996,VU,0.4
13006,Megaptera novaeangliae,French Polynesia,147,2008,2008,LC,0
13006,Megaptera novaeangliae,French Polynesia,147,2009,2008,LC,0
13006,Megaptera novaeangliae,French Polynesia,147,2010,2008,LC,0
13006,Megaptera novaeangliae,French Polynesia,147,2011,2008,LC,0
13006,Megaptera novaeangliae,French Polynesia,147,2012,2008,LC,0
13006,Megaptera novaeangliae,French Polynesia,147,2013,2008,LC,0
13006,Megaptera novaeangliae,French Polynesia,147,2014,2008,LC,0
13006,Megaptera novaeangliae,French Polynesia,147,2015,2008,LC,0
13006,Megaptera novaeangliae,French Polynesia,147,2016,2008,LC,0
13006,Megaptera novaeangliae,French Polynesia,147,2017,2008,LC,0
13006,Megaptera novaeangliae,French Polynesia,147,2018,2008,LC,0
19488,Rhincodon typus,French Polynesia,147,1992,NA,VU,0.4
19488,Rhincodon typus,French Polynesia,147,1993,NA,VU,0.4
19488,Rhincodon typus,French Polynesia,147,1994,NA,VU,0.4
19488,Rhincodon typus,French Polynesia,147,1995,NA,VU,0.4
19488,Rhincodon typus,French Polynesia,147,1996,NA,VU,0.4
19488,Rhincodon typus,French Polynesia,147,1997,NA,VU,0.4
19488,Rhincodon typus,French Polynesia,147,1998,NA,VU,0.4
19488,Rhincodon typus,French Polynesia,147,1999,NA,VU,0.4
19488,Rhincodon typus,French Polynesia,147,2e3,2000,VU,0.4
19488,Rhincodon typus,French Polynesia,147,2001,2000,VU,0.4
19488,Rhincodon typus,French Polynesia,147,2002,2000,VU,0.4
19488,Rhincodon typus,French Polynesia,147,2003,2000,VU,0.4
19488,Rhincodon typus,French Polynesia,147,2004,2000,VU,0.4
19488,Rhincodon typus,French Polynesia,147,2005,2005,VU,0.4
19488,Rhincodon typus,French Polynesia,147,2006,2005,VU,0.4
19488,Rhincodon typus,French Polynesia,147,2007,2005,VU,0.4
19488,Rhincodon typus,French Polynesia,147,2008,2005,VU,0.4
19488,Rhincodon typus,French Polynesia,147,2009,2005,VU,0.4
19488,Rhincodon typus,French Polynesia,147,2010,2005,VU,0.4
19488,Rhincodon typus,French Polynesia,147,2011,2005,VU,0.4
19488,Rhincodon typus,French Polynesia,147,2012,2005,VU,0.4
19488,Rhincodon typus,French Polynesia,147,2013,2005,VU,0.4
19488,Rhincodon typus,French Polynesia,147,2014,2005,VU,0.4
19488,Rhincodon typus,French Polynesia,147,2015,2005,VU,0.4
19488,Rhincodon typus,French Polynesia,147,2016,2016,EN,0.6
19488,Rhincodon typus,French Polynesia,147,2017,2016,EN,0.6
19488,Rhincodon typus,French Polynesia,147,2018,2016,EN,0.6
20738,Steno bredanensis,French Polynesia,147,1992,NA,LC,0
20738,Steno bredanensis,French Polynesia,147,1993,NA,LC,0
20738,Steno bredanensis,French Polynesia,147,1994,NA,LC,0
20738,Steno bredanensis,French Polynesia,147,1995,NA,LC,0
20738,Steno bredanensis,French Polynesia,147,1996,NA,LC,0
20738,Steno bredanensis,French Polynesia,147,1997,NA,LC,0
20738,Steno bredanensis,French Polynesia,147,1998,NA,LC,0
20738,Steno bredanensis,French Polynesia,147,1999,NA,LC,0
20738,Steno bredanensis,French Polynesia,147,2e3,NA,LC,0
20738,Steno bredanensis,French Polynesia,147,2001,NA,LC,0
20738,Steno bredanensis,French Polynesia,147,2002,NA,LC,0
20738,Steno bredanensis,French Polynesia,147,2003,NA,LC,0
20738,Steno bredanensis,French Polynesia,147,2004,NA,LC,0
20738,Steno bredanensis,French Polynesia,147,2005,NA,LC,0
20738,Steno bredanensis,French Polynesia,147,2006,NA,LC,0
20738,Steno bredanensis,French Polynesia,147,2007,NA,LC,0
20738,Steno bredanensis,French Polynesia,147,2008,2008,LC,0
20738,Steno bredanensis,French Polynesia,147,2009,2008,LC,0
20738,Steno bredanensis,French Polynesia,147,2010,2008,LC,0
20738,Steno bredanensis,French Polynesia,147,2011,2008,LC,0
20738,Steno bredanensis,French Polynesia,147,2012,2012,LC,0
20738,Steno bredanensis,French Polynesia,147,2013,2012,LC,0
20738,Steno bredanensis,French Polynesia,147,2014,2012,LC,0
20738,Steno bredanensis,French Polynesia,147,2015,2012,LC,0
20738,Steno bredanensis,French Polynesia,147,2016,2012,LC,0
20738,Steno bredanensis,French Polynesia,147,2017,2012,LC,0
20738,Steno bredanensis,French Polynesia,147,2018,2012,LC,0
39339,Alopias vulpinus,French Polynesia,147,1992,NA,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,1993,NA,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,1994,NA,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,1995,NA,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,1996,NA,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,1997,NA,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,1998,NA,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,1999,NA,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,2e3,NA,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,2001,NA,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,2002,NA,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,2003,NA,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,2004,NA,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,2005,NA,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,2006,NA,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,2007,NA,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,2008,NA,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,2009,2009,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,2010,2009,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,2011,2009,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,2012,2009,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,2013,2009,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,2014,2009,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,2015,2009,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,2016,2009,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,2017,2009,VU,0.4
39339,Alopias vulpinus,French Polynesia,147,2018,2009,VU,0.4
39341,Isurus oxyrinchus,French Polynesia,147,1992,NA,NT,0.2
39341,Isurus oxyrinchus,French Polynesia,147,1993,NA,NT,0.2
39341,Isurus oxyrinchus,French Polynesia,147,1994,NA,NT,0.2
39341,Isurus oxyrinchus,French Polynesia,147,1995,NA,NT,0.2
39341,Isurus oxyrinchus,French Polynesia,147,1996,NA,NT,0.2
39341,Isurus oxyrinchus,French Polynesia,147,1997,NA,NT,0.2
39341,Isurus oxyrinchus,French Polynesia,147,1998,NA,NT,0.2
39341,Isurus oxyrinchus,French Polynesia,147,1999,NA,NT,0.2
39341,Isurus oxyrinchus,French Polynesia,147,2e3,2000,NT,0.2
39341,Isurus oxyrinchus,French Polynesia,147,2001,2000,NT,0.2
39341,Isurus oxyrinchus,French Polynesia,147,2002,2000,NT,0.2
39341,Isurus oxyrinchus,French Polynesia,147,2003,2000,NT,0.2
39341,Isurus oxyrinchus,French Polynesia,147,2004,2000,NT,0.2
39341,Isurus oxyrinchus,French Polynesia,147,2005,2000,NT,0.2
39341,Isurus oxyrinchus,French Polynesia,147,2006,2000,NT,0.2
39341,Isurus oxyrinchus,French Polynesia,147,2007,2000,NT,0.2
39341,Isurus oxyrinchus,French Polynesia,147,2008,2000,NT,0.2
39341,Isurus oxyrinchus,French Polynesia,147,2009,2009,VU,0.4
39341,Isurus oxyrinchus,French Polynesia,147,2010,2009,VU,0.4
39341,Isurus oxyrinchus,French Polynesia,147,2011,2009,VU,0.4
39341,Isurus oxyrinchus,French Polynesia,147,2012,2009,VU,0.4
39341,Isurus oxyrinchus,French Polynesia,147,2013,2009,VU,0.4
39341,Isurus oxyrinchus,French Polynesia,147,2014,2009,VU,0.4
39341,Isurus oxyrinchus,French Polynesia,147,2015,2009,VU,0.4
39341,Isurus oxyrinchus,French Polynesia,147,2016,2009,VU,0.4
39341,Isurus oxyrinchus,French Polynesia,147,2017,2009,VU,0.4
39341,Isurus oxyrinchus,French Polynesia,147,2018,2009,VU,0.4
39365,Carcharhinus amblyrhynchos,French Polynesia,147,1992,NA,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,1993,NA,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,1994,NA,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,1995,NA,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,1996,NA,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,1997,NA,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,1998,NA,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,1999,NA,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,2e3,2000,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,2001,2000,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,2002,2000,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,2003,2000,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,2004,2000,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,2005,2000,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,2006,2000,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,2007,2000,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,2008,2000,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,2009,2009,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,2010,2009,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,2011,2009,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,2012,2009,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,2013,2009,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,2014,2009,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,2015,2009,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,2016,2009,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,2017,2009,NT,0.2
39365,Carcharhinus amblyrhynchos,French Polynesia,147,2018,2009,NT,0.2
39378,Galeocerdo cuvier,French Polynesia,147,1992,NA,NT,0.2
39378,Galeocerdo cuvier,French Polynesia,147,1993,NA,NT,0.2
39378,Galeocerdo cuvier,French Polynesia,147,1994,NA,NT,0.2
39378,Galeocerdo cuvier,French Polynesia,147,1995,NA,NT,0.2
39378,Galeocerdo cuvier,French Polynesia,147,1996,NA,NT,0.2
39378,Galeocerdo cuvier,French Polynesia,147,1997,NA,NT,0.2
